content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo,textblob_polarity,textblob_sentiment
Nah sekarang yang paling parah di pengiriman nya lama banget sampe nya. Per 3 hari baru sampe. Padahal masih satu kota loh. Saya udah segi banding. Pengiriman Surabaya sama Bandung ko nyampe paketnya barengan 3 hari. Kalo bisa kembalikan kaya dulu estimasi sampe 2 hari lagi,2,,nah sekarang yang paling parah di pengiriman nya lama banget sampe nya per  hari baru sampe padahal masih satu kota loh saya udah segi banding pengiriman surabaya sama bandung ko nyampe paketnya barengan  hari kalo bisa kembalikan kaya dulu estimasi sampe  hari lagi,parah pengiriman nya banget sampe nya sampe kota loh udah segi banding pengiriman surabaya bandung ko nyampe paketnya barengan kalo kembalikan kaya estimasi sampe,"['parah', 'pengiriman', 'nya', 'banget', 'sampe', 'nya', 'sampe', 'kota', 'loh', 'udah', 'segi', 'banding', 'pengiriman', 'surabaya', 'bandung', 'ko', 'nyampe', 'paketnya', 'barengan', 'kalo', 'kembalikan', 'kaya', 'estimasi', 'sampe']",parah kirim nya banget sampe nya sampe kota loh udah segi banding kirim surabaya bandung ko nyampe paket bareng kalo kembali kaya estimasi sampe,0.0,Netral
"Shopee makin keren skrng bisa beli reksadana nyicil,,TOP,,cuma sayang pencairan dari penjualan ke bank penampung cairnya lamaaaaaaaa bisa bulanan,,,ditambah klo udah update aplikasi terbaru gak bisa dibuka..untuk layanan customer service sayang sekali gak ada kontak yg bisa dihubungi,,mengecewakan,,klo ada apa2 loe cuma bisa chat doang terus dikasih solusi yg isinya membagongkan karena gak langsung menyelesaikan masalah,,,mudah2an ke depan tim shopee lebih bagus lagi,,maaf bintang saya turunkan",1,Negatif,shopee makin keren skrng bisa beli reksadana nyiciltopcuma sayang pencairan dari penjualan ke bank penampung cairnya lamaaaaaaaa bisa bulananditambah klo udah update aplikasi terbaru gak bisa dibukauntuk layanan customer service sayang sekali gak ada kontak yg bisa dihubungimengecewakanklo ada apa loe cuma bisa chat doang terus dikasih solusi yg isinya membagongkan karena gak langsung menyelesaikan masalahmudahan ke depan tim shopee lebih bagus lagimaaf bintang saya turunkan,shopee keren skrng beli reksadana nyiciltopcuma sayang pencairan penjualan bank penampung cairnya lamaaaaaaaa bulananditambah klo udah update aplikasi terbaru gak dibukauntuk layanan customer service sayang gak kontak yg dihubungimengecewakanklo loe chat doang dikasih solusi yg isinya membagongkan gak langsung menyelesaikan masalahmudahan tim shopee bagus lagimaaf bintang turunkan,"['shopee', 'keren', 'skrng', 'beli', 'reksadana', 'nyiciltopcuma', 'sayang', 'pencairan', 'penjualan', 'bank', 'penampung', 'cairnya', 'lamaaaaaaaa', 'bulananditambah', 'klo', 'udah', 'update', 'aplikasi', 'terbaru', 'gak', 'dibukauntuk', 'layanan', 'customer', 'service', 'sayang', 'gak', 'kontak', 'yg', 'dihubungimengecewakanklo', 'loe', 'chat', 'doang', 'dikasih', 'solusi', 'yg', 'isinya', 'membagongkan', 'gak', 'langsung', 'menyelesaikan', 'masalahmudahan', 'tim', 'shopee', 'bagus', 'lagimaaf', 'bintang', 'turunkan']",shopee keren skrng beli reksadana nyiciltopcuma sayang cair jual bank tampung cair lamaaaaaaaa bulananditambah klo udah update aplikasi baru gak dibukauntuk layan customer service sayang gak kontak yg dihubungimengecewakanklo loe chat doang kasih solusi yg isi bagong gak langsung selesai masalahmudahan tim shopee bagus lagimaaf bintang turun,0.0,Netral
"Selamat pagi Admin Shopee. Maaf ko sekarang ga ada lagi pitur tulisan perpanjang masa garansi Shopee ,,",4,Positif,selamat pagi admin shopee maaf ko sekarang ga ada lagi pitur tulisan perpanjang masa garansi shopee ,selamat pagi admin shopee maaf ko ga pitur tulisan perpanjang garansi shopee,"['selamat', 'pagi', 'admin', 'shopee', 'maaf', 'ko', 'ga', 'pitur', 'tulisan', 'perpanjang', 'garansi', 'shopee']",selamat pagi admin shopee maaf ko ga pitur tulis panjang garansi shopee,0.0,Netral
"Saya pesan barang dan hampir 1 bulan tidak datang dan saya ajukan pengembalian. Tapi malah tertunda lagi 1 bulan menunggu ter acc 2 bulan di suruh menunggu. Saya beli barang menggunakan uang pribadi bukan paylater, uang tertahan barang tidak datang",1,Negatif,saya pesan barang dan hampir  bulan tidak datang dan saya ajukan pengembalian tapi malah tertunda lagi  bulan menunggu ter acc  bulan di suruh menunggu saya beli barang menggunakan uang pribadi bukan paylater uang tertahan barang tidak datang,pesan barang ajukan pengembalian tertunda menunggu ter acc suruh menunggu beli barang uang pribadi paylater uang tertahan barang,"['pesan', 'barang', 'ajukan', 'pengembalian', 'tertunda', 'menunggu', 'ter', 'acc', 'suruh', 'menunggu', 'beli', 'barang', 'uang', 'pribadi', 'paylater', 'uang', 'tertahan', 'barang']",pesan barang aju kembali tunda tunggu ter acc suruh tunggu beli barang uang pribadi paylater uang tahan barang,0.0,Netral
Terima kasih untuk yang buat aplikasinya. Tampilannya sangat friendly user banget. Penataannya rapi dan nyaman dilihat. Tentunya banyak promo.,5,Positif,terima kasih untuk yang buat aplikasinya tampilannya sangat friendly user banget penataannya rapi dan nyaman dilihat tentunya banyak promo,terima kasih aplikasinya tampilannya friendly user banget penataannya rapi nyaman promo,"['terima', 'kasih', 'aplikasinya', 'tampilannya', 'friendly', 'user', 'banget', 'penataannya', 'rapi', 'nyaman', 'promo']",terima kasih aplikasi tampil friendly user banget tata rapi nyaman promo,0.375,Positif
"Mantap shopee Tapi yg ngecewain shopylaternya bagus si bisa ambil sekarang bayar bulan depan. Tapi udah kita bayar tagihan,diaplilikasi belum terbayarkan ,trus ditagih , Pokoknya hati hati pake spaylater",4,Positif,mantap shopee tapi yg ngecewain shopylaternya bagus si bisa ambil sekarang bayar bulan depan tapi udah kita bayar tagihandiaplilikasi belum terbayarkan trus ditagih  pokoknya hati hati pake spaylater,mantap shopee yg ngecewain shopylaternya bagus si ambil bayar udah bayar tagihandiaplilikasi terbayarkan trus ditagih pokoknya hati hati pake spaylater,"['mantap', 'shopee', 'yg', 'ngecewain', 'shopylaternya', 'bagus', 'si', 'ambil', 'bayar', 'udah', 'bayar', 'tagihandiaplilikasi', 'terbayarkan', 'trus', 'ditagih', 'pokoknya', 'hati', 'hati', 'pake', 'spaylater']",mantap shopee yg ngecewain shopylaternya bagus si ambil bayar udah bayar tagihandiaplilikasi bayar trus tagih pokok hati hati pake spaylater,0.0,Netral
"Kmaren make s pinjam di shope awal² masih bagus aja terus jatuh temponya sebulan sekali belum ada sebulan gw uda lunasin , tapi sekrg mo pinjam lgi gk bisa karna pengkreditan gw jelek katanya padahal jatuh sebelum jjatuh tempo aja gw uda lunasin sekrg mo pinjam lgi malah g bisa . Plis kecewa bgt gw tlong dong diperbaiki",2,,kmaren make s pinjam di shope awal masih bagus aja terus jatuh temponya sebulan sekali belum ada sebulan gw uda lunasin  tapi sekrg mo pinjam lgi gk bisa karna pengkreditan gw jelek katanya padahal jatuh sebelum jjatuh tempo aja gw uda lunasin sekrg mo pinjam lgi malah g bisa  plis kecewa bgt gw tlong dong diperbaiki,kmaren make s pinjam shope bagus aja jatuh temponya sebulan sebulan gw uda lunasin sekrg mo pinjam lgi gk karna pengkreditan gw jelek jatuh jjatuh tempo aja gw uda lunasin sekrg mo pinjam lgi g plis kecewa bgt gw tlong diperbaiki,"['kmaren', 'make', 's', 'pinjam', 'shope', 'bagus', 'aja', 'jatuh', 'temponya', 'sebulan', 'sebulan', 'gw', 'uda', 'lunasin', 'sekrg', 'mo', 'pinjam', 'lgi', 'gk', 'karna', 'pengkreditan', 'gw', 'jelek', 'jatuh', 'jjatuh', 'tempo', 'aja', 'gw', 'uda', 'lunasin', 'sekrg', 'mo', 'pinjam', 'lgi', 'g', 'plis', 'kecewa', 'bgt', 'gw', 'tlong', 'diperbaiki']",kmaren make s pinjam shope bagus aja jatuh tempo bulan bulan gw uda lunasin sekrg mo pinjam lgi gk karna kredit gw jelek jatuh jjatuh tempo aja gw uda lunasin sekrg mo pinjam lgi g plis kecewa bgt gw tlong baik,0.0,Netral
"pengiriman lama.. garansi tepat waktu tulisan doang, cuih.. garansi tepat waktu tertulis 6 NOVEMBER.. barang belum sampai, eh tiba"" garansi tepat waktunya mundur ke 8 NOVEMBER, kyak udh gk butuh lagi barang yang di beli.. karna nunggunya kelamaan.. kurir ambilnya juga lama proses sampai 2 hari",1,Negatif,pengiriman lama garansi tepat waktu tulisan doang cuih garansi tepat waktu tertulis  november barang belum sampai eh tiba garansi tepat waktunya mundur ke  november kyak udh gk butuh lagi barang yang di beli karna nunggunya kelamaan kurir ambilnya juga lama proses sampai  hari,pengiriman garansi tulisan doang cuih garansi tertulis november barang eh garansi mundur november kyak udh gk butuh barang beli karna nunggunya kurir ambilnya proses,"['pengiriman', 'garansi', 'tulisan', 'doang', 'cuih', 'garansi', 'tertulis', 'november', 'barang', 'eh', 'garansi', 'mundur', 'november', 'kyak', 'udh', 'gk', 'butuh', 'barang', 'beli', 'karna', 'nunggunya', 'kurir', 'ambilnya', 'proses']",kirim garansi tulis doang cuih garansi tulis november barang eh garansi mundur november kyak udh gk butuh barang beli karna nunggunya kurir ambil proses,0.0,Netral
Aplikasi ini banyak sekali penipuan dan barang palsu saya mohon ke pihak Shopp untuk memblokir akun²yg menjual barang palsu dan orang-orang penipu dan hati² sekali dengan toko ponsel 3c itu penipuan barang nya palsu semua semoga pihak shopee bisa memblokir akun tersebut terimakasih 🙏,1,Negatif,aplikasi ini banyak sekali penipuan dan barang palsu saya mohon ke pihak shopp untuk memblokir akunyg menjual barang palsu dan orangorang penipu dan hati sekali dengan toko ponsel c itu penipuan barang nya palsu semua semoga pihak shopee bisa memblokir akun tersebut terimakasih ,aplikasi penipuan barang palsu mohon shopp memblokir akunyg menjual barang palsu orangorang penipu hati toko ponsel c penipuan barang nya palsu semoga shopee memblokir akun terimakasih,"['aplikasi', 'penipuan', 'barang', 'palsu', 'mohon', 'shopp', 'memblokir', 'akunyg', 'menjual', 'barang', 'palsu', 'orangorang', 'penipu', 'hati', 'toko', 'ponsel', 'c', 'penipuan', 'barang', 'nya', 'palsu', 'semoga', 'shopee', 'memblokir', 'akun', 'terimakasih']",aplikasi tipu barang palsu mohon shopp blokir akunyg jual barang palsu orangorang tipu hati toko ponsel c tipu barang nya palsu moga shopee blokir akun terimakasih,0.0,Netral
"bagus,tapi mohon knapa setelah update pas mau buka produk selalu gagal memuat padahal sinyal udah bagus bgt. mohon petunjuk secepatnya 🙏",5,Positif,bagustapi mohon knapa setelah update pas mau buka produk selalu gagal memuat padahal sinyal udah bagus bgt mohon petunjuk secepatnya ,bagustapi mohon knapa update pas buka produk gagal memuat sinyal udah bagus bgt mohon petunjuk secepatnya,"['bagustapi', 'mohon', 'knapa', 'update', 'pas', 'buka', 'produk', 'gagal', 'memuat', 'sinyal', 'udah', 'bagus', 'bgt', 'mohon', 'petunjuk', 'secepatnya']",bagustapi mohon knapa update pas buka produk gagal muat sinyal udah bagus bgt mohon tunjuk cepat,0.0,Netral
