content,score,Label
Nah sekarang yang paling parah di pengiriman nya lama banget sampe nya. Per 3 hari baru sampe. Padahal masih satu kota loh. Saya udah segi banding. Pengiriman Surabaya sama Bandung ko nyampe paketnya barengan 3 hari. Kalo bisa kembalikan kaya dulu estimasi sampe 2 hari lagi,2,
"Shopee makin keren skrng bisa beli reksadana nyicil,,TOP,,cuma sayang pencairan dari penjualan ke bank penampung cairnya lamaaaaaaaa bisa bulanan,,,ditambah klo udah update aplikasi terbaru gak bisa dibuka..untuk layanan customer service sayang sekali gak ada kontak yg bisa dihubungi,,mengecewakan,,klo ada apa2 loe cuma bisa chat doang terus dikasih solusi yg isinya membagongkan karena gak langsung menyelesaikan masalah,,,mudah2an ke depan tim shopee lebih bagus lagi,,maaf bintang saya turunkan",1,Negatif
"Selamat pagi Admin Shopee. Maaf ko sekarang ga ada lagi pitur tulisan perpanjang masa garansi Shopee ,,",4,Positif
"Saya pesan barang dan hampir 1 bulan tidak datang dan saya ajukan pengembalian. Tapi malah tertunda lagi 1 bulan menunggu ter acc 2 bulan di suruh menunggu. Saya beli barang menggunakan uang pribadi bukan paylater, uang tertahan barang tidak datang",1,Negatif
Terima kasih untuk yang buat aplikasinya. Tampilannya sangat friendly user banget. Penataannya rapi dan nyaman dilihat. Tentunya banyak promo.,5,Positif
"Mantap shopee Tapi yg ngecewain shopylaternya bagus si bisa ambil sekarang bayar bulan depan. Tapi udah kita bayar tagihan,diaplilikasi belum terbayarkan ,trus ditagih , Pokoknya hati hati pake spaylater",4,Positif
"Kmaren make s pinjam di shope awal² masih bagus aja terus jatuh temponya sebulan sekali belum ada sebulan gw uda lunasin , tapi sekrg mo pinjam lgi gk bisa karna pengkreditan gw jelek katanya padahal jatuh sebelum jjatuh tempo aja gw uda lunasin sekrg mo pinjam lgi malah g bisa . Plis kecewa bgt gw tlong dong diperbaiki",2,
"pengiriman lama.. garansi tepat waktu tulisan doang, cuih.. garansi tepat waktu tertulis 6 NOVEMBER.. barang belum sampai, eh tiba"" garansi tepat waktunya mundur ke 8 NOVEMBER, kyak udh gk butuh lagi barang yang di beli.. karna nunggunya kelamaan.. kurir ambilnya juga lama proses sampai 2 hari",1,Negatif
Aplikasi ini banyak sekali penipuan dan barang palsu saya mohon ke pihak Shopp untuk memblokir akun²yg menjual barang palsu dan orang-orang penipu dan hati² sekali dengan toko ponsel 3c itu penipuan barang nya palsu semua semoga pihak shopee bisa memblokir akun tersebut terimakasih 🙏,1,Negatif
"bagus,tapi mohon knapa setelah update pas mau buka produk selalu gagal memuat padahal sinyal udah bagus bgt. mohon petunjuk secepatnya 🙏",5,Positif
Sebenarnya sangat bagus ini aplikasi mudah dipake hanya saja tolong seleksi dgn benar ketika memilih kurir kalau ndk sanggup antar barang sampai alamat tujuan dipecat sj kurirnya berhubung disitu sdh tertera ongkirnya sekian sampai alamat tujuan yg qt bayar malah dsuruh jemput,3,
"Bintang saya kurangi 2..... Di karenakan, pengiriman pihak jasa ekspedisi yang makin ke sini makin lama...... Bisa sampai 2 hingga 4 hari. Di khawatirkan, terjadi kerusakan nantinya di pesanan paket jika harus berlama lama di jalan atau di tempat ekspedisi transit........ 😞😞 Bila ada perkembangan dalam waktu dekat prihal ekspedisi, untuk bintang akan di tambahkan kembali.",3,
"Mantap lah pokoknya.... Proses cepat, penjual yg ramah cepat sampai, penjual yg kurang ramah terkadang sampai 2-3 hari... Overall banyak yg ramah",5,Positif
"Login keamanan Gak jelas, verifikasi 3 sampai 4 kali lewat link verif lewat WhatsApp setelah di klik link verifikasinya malah kembali ke tampilan awal login aplikasi, blm masuk masuk juga ke akun shopee saya",1,Negatif
"Aku sih suka belanja apa aja, tapi males banget keluar rumah. Nggak suka ribet bawa-bawa barang juga. Pergi sih oke, tapi kalo jalan-jalan atau makan aja. Makanya aku suka banget belanja di Shopee, praktis dan gampang!",5,Positif
Saya sudah menggunakan Shopi selama 2 tahun dan bagus murah amanah wajib download rekomendasi ayo download banyak barang bagus + murah dan banyak diskon.,5,Positif
"Kemaren pengiriman barang lama di proses, setelah aku liat tgl 4 nov dah di kirim barang sudah kekota tujuan tgl 6 sama mau ketempat transit, tapi pas kuliat lagi pelacakan paket kok barang masih cekarang jam 6 sore tambah estimasi sampai berubah dari tgl 7-8 berubah lagi estimasinya jadi tgl 10 nov - 11 nov, dah konsultasi ke ig, tolong di perbaiki proses pengiriman barang, dulu 2 hari dah sampai skerang lebih",1,Negatif
Shopee sngt bagus dan keren. Untuk belanja barang yg diinginkan beragam dan bnyk pilihan. Dan pengirimannya sllu tepat waktu. Sy suka dengan shopee,5,Positif
"Kurir shoppe Express paling nyebelin, gak jelas banget. Infonya barang sedang dalam pengantaran, tp disuruh ngambil ke Outletnya. Batas pengambilan 3 Hari, meskipun sudah bayar setelah lewat 3 Hari barang dikembalikan. Mana lokasinya jauh banget. Ekspedisi paling Buruk",1,Negatif
"Setelah update bulan ini, kok ketika COD tidak dapat potongan ongkir. Padahal untuk saya di desa lebih mudah COD. Tp karena gak dapat potongan ongkir nya jadi mahal.",4,Positif
"Sudah bagus shopee sebelum nya tapi yg sekarang sy mengeluh karna kalau ada notifikasi iklan shopee langsung kebuka aplikasi nya tanpa di klik walaupun lagi buka aplikasi lain,tolong shopee jadi perhatian hal ini untuk di rubah",5,Positif
"Ubah ekspedisi nya, barang dalam pengantaran tapi lama sekali, saya tunggu sampe beberapa hari, tiba waktu harinya tiba tiba di ubah tanggal sepihak, harus nya datang tanggal 6 tiba tiba diubah tanggal 8,Kita juga butuh barangnya, udah di tunggu buat barangnya dipake malah di kecewain begini, saya sudah seneng barang sampe malah kecewa ama ekspedisi nya,dari pagi sampe malam stuck di status pengantaran dan kurir nya di situ situ saja",1,Negatif
"Banyak bonus nya , sangat bermanfaat bagi sy yg stay dirumah dlm bidang otomotif dan fashion jdi tidak perlu repot pergi kluar rumah buat cari barang2 yg kita inginkan",5,Positif
"aplikasi nya bagus cuma Shopee food sekarang kenapaa yaa sering double order, jdi waktu pengantaran nya lebih lama untuk sampai ke tujuan.",5,Positif
"System pengiriman barang kePapua Selatan sangat lama,tidak seperti dulu 5 - 9hari sudah sampai, sekarang sudah estimasinya lama barang sudah lama melewati estimasi juga belum sampai, maaf kalau ratingnya tak kasih turun🙏🏻🙏🏻🙏🏻🥱🥱🥱 kembalikan seperti shopee yang dulu yang banyak pilihan jasa pengiriman... SPX lelet...paket selalu diretun alias gak pernah sampai,dana retun gak pernah balik,😭😭😭buang² waktu!!! jadi malas belanja disini....😭😭🌹",1,Negatif
"Udah semakin jelek apk ini, pesanan belum sampai suda bisa tekan selesai. Giliran kita salah tekan lngsung selesai. Mau minta pengembalian malah di tolak shopee. Kurirnya juga nggak ramah....Udah gak jelas apk in😡",1,Negatif
